card1,card2,position,skill,decision,played_at
Qc,9d,bb,expert,aggress,2023-11-28 20:46:40.918957
9d,8c,sb,expert,fold,2023-11-28 20:52:42.600428
3d,6c,bb,expert,fold,2023-11-28 20:55:34.640436
7s,Kd,sb,expert,aggress,2023-11-28 21:02:28.81262
Kh,Jc,sb,expert,aggress,2023-11-28 21:18:34.649833
9d,9h,bb,advanced,aggress,2023-11-28 21:19:48.768363
2d,9d,sb,advanced,fold,2023-11-28 21:20:54.609715
Ac,Kh,bb,advanced,aggress,2023-11-28 21:22:40.126779
8d,Qs,bb,advanced,aggress,2023-11-28 21:23:13.684239
Ah,10s,bb,advanced,aggress,2023-11-28 21:23:56.806534
Kd,Jd,bb,advanced,aggress,2023-11-28 21:24:32.414989
Jd,8d,sb,intermediate,aggress,2023-11-28 21:24:54.490602
Qc,6h,bb,advanced,aggress,2023-11-28 21:31:20.467963
Qc,6h,bb,advanced,aggress,2023-11-28 21:31:22.074589
Qc,6h,bb,advanced,aggress,2023-11-28 21:31:24.446935
2s,7h,bb,beginner,aggress,2023-11-28 21:54:31.017738
2s,7h,bb,beginner,fold,2023-11-28 21:54:33.084701
2s,7h,bb,beginner,fold,2023-11-28 21:54:34.128802
2s,7h,bb,beginner,fold,2023-11-28 21:54:35.179793
2s,7h,bb,beginner,aggress,2023-11-28 21:54:51.504228
Jh,8d,sb,advanced,aggress,2023-11-28 22:42:11.753738
3c,Jh,sb,advanced,fold,2023-11-28 22:42:40.630499
4c,9h,sb,advanced,fold,2023-11-28 22:42:43.795561
Kd,3d,bb,advanced,fold,2023-11-28 22:42:46.872025
Qh,4c,bb,advanced,fold,2023-11-28 22:42:48.700888
10c,Jc,bb,advanced,aggress,2023-11-28 22:42:49.678628
6c,As,bb,advanced,aggress,2023-11-28 22:46:08.532739
5s,7c,bb,advanced,fold,2023-11-28 22:46:48.573064
Ac,5d,sb,advanced,aggress,2023-11-28 22:46:49.68119
2c,4d,bb,beginner,fold,2023-11-28 22:47:05.181732
10s,Jh,bb,beginner,aggress,2023-11-28 22:47:06.030106
10s,4s,sb,advanced,fold,2023-11-28 22:47:28.3001
Jd,Ah,sb,advanced,aggress,2023-11-28 22:47:29.166913
Kh,2d,bb,advanced,fold,2023-11-28 22:47:50.672032
Qd,Kd,bb,advanced,aggress,2023-11-28 22:47:51.540728
3h,8s,sb,advanced,fold,2023-11-28 22:50:52.166221
6c,2s,sb,advanced,fold,2023-11-28 22:50:53.249763
2c,Jc,bb,advanced,fold,2023-11-28 22:50:54.494033
6d,5d,sb,advanced,fold,2023-11-28 22:50:55.557162
8h,Kh,bb,advanced,aggress,2023-11-28 22:50:56.541696
3h,Kc,sb,advanced,fold,2023-11-28 22:51:59.467842
4h,8h,bb,advanced,fold,2023-11-28 22:52:00.892635
Js,5h,sb,advanced,fold,2023-11-28 22:52:04.686528
Ac,6s,bb,advanced,aggress,2023-11-28 22:52:07.274395
Ad,9h,bb,advanced,aggress,2023-11-29 02:38:42.46406
10h,Js,sb,advanced,aggress,2023-11-29 02:50:00.898225
6d,6c,sb,advanced,aggress,2023-11-29 02:50:11.77622
4c,8d,sb,advanced,fold,2023-11-29 02:50:32.291972
4h,Kc,sb,advanced,fold,2023-11-29 02:50:34.200319
Ad,6d,sb,advanced,aggress,2023-11-29 02:50:35.728487
9d,Qs,bb,advanced,aggress,2023-11-29 02:51:23.775123
4c,2d,bb,advanced,fold,2023-11-29 03:06:19.608903
9d,5h,sb,advanced,fold,2023-11-29 03:06:20.95814
5d,2s,bb,advanced,fold,2023-11-29 03:06:22.102804
Td,9c,bb,advanced,aggress,2023-11-29 03:06:23.349528
7c,As,bb,advanced,aggress,2023-11-29 03:06:34.842428
9d,3d,sb,advanced,fold,2023-11-29 03:07:31.005783
Jc,6d,bb,advanced,aggress,2023-11-29 03:07:32.199188
Qs,Ts,sb,advanced,aggress,2023-11-29 03:08:20.048408
6d,Jc,bb,advanced,fold,2023-11-29 03:08:43.054436
Th,Kc,bb,advanced,aggress,2023-11-29 03:08:44.953794
As,Kc,sb,advanced,aggress,2023-11-29 03:17:11.082149
Th,Kc,bb,advanced,aggress,2023-11-29 03:17:29.946687
9d,Ac,sb,advanced,aggress,2023-11-29 03:18:19.123639
8d,4h,sb,advanced,fold,2023-11-29 03:19:29.030028
Ks,2h,sb,advanced,aggress,2023-11-29 03:19:30.076542
7h,3c,bb,beginner,fold,2023-11-29 03:20:28.807574
7h,4s,sb,beginner,fold,2023-11-29 03:20:29.902102
Ad,4s,sb,beginner,aggress,2023-11-29 03:20:31.671843
3c,3d,sb,beginner,aggress,2023-11-29 03:24:03.620115
2c,8s,bb,advanced,fold,2023-11-29 03:40:51.234794
4d,Ah,sb,advanced,aggress,2023-11-29 03:41:04.404708
6s,Js,sb,advanced,aggress,2023-11-29 03:43:14.863054
Jc,8d,bb,advanced,fold,2023-11-29 03:43:51.239823
Td,Jc,sb,advanced,aggress,2023-11-29 03:43:52.966884
8s,Kc,bb,advanced,aggress,2023-11-29 03:44:19.408139
7c,2h,sb,advanced,fold,2023-11-29 03:48:52.288139
Tc,7s,bb,advanced,aggress,2023-11-29 03:48:54.267673
Qc,As,sb,advanced,aggress,2023-11-29 03:49:34.629126
6s,7d,bb,advanced,fold,2023-11-29 03:51:34.881744
Ah,Tc,sb,advanced,aggress,2023-11-29 03:51:35.8568
4s,7d,bb,advanced,fold,2023-11-29 03:54:33.846689
Kd,6d,sb,advanced,aggress,2023-11-29 03:54:36.210714
4d,Ks,bb,advanced,aggress,2023-11-29 03:57:46.850387
KS,9C,sb,advanced,aggress,2023-11-29 03:58:34.837856
7d,8h,bb,advanced,fold,2023-11-29 04:00:25.135174
7d,Qs,bb,advanced,fold,2023-11-29 04:00:27.332573
Tc,7d,sb,advanced,fold,2023-11-29 04:00:28.597173
3d,As,sb,advanced,aggress,2023-11-29 04:00:30.357738
6c,3h,bb,advanced,fold,2023-11-29 04:02:33.936498
8c,7d,sb,advanced,aggress,2023-11-29 04:02:36.935021
7s,8c,bb,advanced,aggress,2023-11-29 04:05:52.95828
6s,8s,bb,advanced,fold,2023-11-29 04:06:27.619754
Qs,7d,sb,advanced,aggress,2023-11-29 04:06:28.938799
Tc,Ah,bb,advanced,aggress,2023-11-29 04:07:22.848046
Ac,Jd,sb,advanced,aggress,2023-11-29 04:08:03.734703
Ks,Ah,sb,advanced,aggress,2023-11-29 04:08:46.849349
Ah,4c,bb,advanced,aggress,2023-11-29 04:09:29.766998
5c,6h,bb,advanced,fold,2023-11-29 04:10:21.958219
2d,Qc,bb,advanced,fold,2023-11-29 04:10:23.812177
Ah,5h,bb,advanced,aggress,2023-11-29 04:10:25.154713
3d,2c,bb,advanced,fold,2023-11-29 04:12:45.381582
2d,5c,sb,advanced,fold,2023-11-29 04:12:46.430483
5h,7h,sb,advanced,fold,2023-11-29 04:12:47.440846
Qh,9d,bb,advanced,aggress,2023-11-29 04:12:48.621744
Ac,Ah,bb,advanced,aggress,2023-11-29 04:16:11.652525
3s,8c,sb,beginner,fold,2023-11-29 04:43:22.668842
Jd,Kc,sb,beginner,aggress,2023-11-29 04:43:25.006619
